Time[s],Speed[m/s],X[m],Z[m],Y[m]
232.9979391,5.472043655,-41.61364871,41.19772032,0.513035208
234.0117757,5.664907183,-38.14515577,36.19394862,0.617153505
235.0089583,5.775894264,-34.92501993,31.56823967,0.723910462
236.0193827,5.813577547,-31.88473492,25.66378907,0.830904027
237.0118511,5.799846254,-28.76736382,20.57106143,0.928765533
238.0387514,5.765733022,-25.81270841,15.86751603,1.0166658
239.0409474,5.743983168,-21.89028463,11.76442324,1.084963442
240.0288043,5.75449601,-18.17339844,8.050512689,1.132423505
241.0893114,5.810190104,-15.10739547,3.647193594,1.159298181
242.033854,5.895686728,-11.7502032,-0.756125501,1.161245027
243.0082028,6.009128779,-8.238850319,-5.626463288,1.141492123
244.0300586,6.139882498,-5.010114591,-10.09649934,1.098371209
245.0258737,6.259795356,-1.884146892,-15.13362952,1.037490788
246.0085475,6.350335141,0.5823731,-20.72673433,0.964454442
247.0279491,6.39327776,4.050921491,-25.90841791,0.882878187
248.028867,6.366907787,8.264570924,-31.43480576,0.806197617
249.0248876,6.263988573,12.22129712,-37.31701738,0.742283087
250.0105269,6.091661688,16.23797972,-43.199229,0.6981679
251.0169961,5.865185975,19.56095502,-48.39203208,0.676639143
252.0093431,5.62731059,22.6098743,-53.10669697,0.6788912
253.0087883,5.413081388,24.93082509,-57.09859483,0.70207438
254.0044935,5.256334612,27.51727318,-61.05713422,0.741811193
254.8629971,5.177026072,28.53643651,-62.42483182,0.785639525
255.0289905,5.167436866,29.93244556,-67.28405011,0.794825544
256.0067282,5.142167397,31.90227218,-72.9105134,0.851525209
257.0100689,5.152825473,34.17185745,-79.13742929,0.909480489
258.0113027,5.173449088,36.61273902,-86.4095775,0.959501984
259.005728,5.186490946,39.7302007,-91.46894666,0.993156092
260.0213401,5.191419986,44.61192585,-95.5053225,1.002624778
261.0244193,5.20381122,49.0225905,-95.81666829,0.980045167
262.0079513,5.247302158,55.01765936,-94.86039192,0.921549217
262.9888666,5.344031222,59.63387226,-95.52756148,0.823043326
263.9990516,5.512288241,65.32918178,-94.09314693,0.675908145
265.0114079,5.748621934,70.73329777,-92.42522303,0.479175699
266.0303955,6.03750055,76.53992184,-89.16721168,0.231017464
267.0522022,6.351723119,82.62060244,-86.02039525,-0.063927779
267.9920828,6.638051752,88.3158792,-82.71790593,-0.366713478
268.9926879,6.918247138,94.00258235,-79.05959284,-0.706720685
269.9884086,7.155653964,100.4001274,-75.74598403,-1.043631622
271.0027735,7.343706569,107.4228521,-71.45385986,-1.36475043
271.993083,7.468242517,114.2999881,-68.05129511,-1.640964317
272.999347,7.532213368,121.1771081,-64.02603876,-1.875455417
274.0269284,7.533442465,127.8315452,-59.84510952,-2.067094008
275.00121,7.479694347,133.2269803,-53.61819363,-2.211087079
275.9897444,7.378028987,137.8687509,-47.73598201,-2.329997106
276.9990003,7.234975011,138.3053897,-39.80778374,-2.433934498
278.0323231,7.057669165,136.9178089,-30.86771164,-2.530945285
279.04884,6.861742478,133.4748446,-24.69639321,-2.622098388
280.0203037,6.660611119,129.7664014,-19.06992992,-2.706535139
281.0153098,6.444362942,125.1587293,-14.51093793,-2.789292158
282.0077534,6.220330634,121.1762528,-9.718436589,-2.865979293
283.0199177,5.984102605,117.8960489,-4.647947934,-2.935924909
284.0125859,5.74544018,114.2390378,-0.722767024,-2.994893588
285.0183463,5.498115444,110.813247,4.525633515,-3.044392488
285.9955945,5.255852198,107.9270203,9.062386522,-3.083082581
287.0068812,5.009167762,105.07506,13.16547931,-3.114637802
287.9932094,4.780497973,102.5228522,17.25745262,-3.138789745
288.7539968,4.617627827,101.4009099,19.01433246,-3.154088875
288.9871268,4.570658036,100.3646159,20.38203005,-3.158335754
289.9992526,4.38519994,98.56606565,24.65191524,-3.175102717
290.9896274,4.233557377,96.0566952,28.0433605,-3.189982265
291.990494,4.106011197,93.30753005,31.25689388,-3.204780548
292.9901056,3.994215593,91.0379658,34.4148298,-3.220348939
293.9885693,3.884921622,89.2051785,37.69508013,-3.23744441
294.9924326,3.765876717,87.40664619,41.28667626,-3.256663244
296.0024464,3.631550461,85.00862363,44.45573167,-3.278232413
296.9932878,3.48899436,81.95972704,47.07993194,-3.301482757
298.0581393,3.335945123,78.48263342,48.48098802,-3.328489097
